from,to,cost
74,605,0.882
697,101,0.882
369,172,0.882
316,381,0.878
269,471,0.872
400,831,0.868
295,676,0.866
271,670,0.865
493,81,0.863
816,48,0.861
443,301,0.861
212,5,0.857
603,245,0.852
485,642,0.852
259,786,0.851
354,851,0.851
424,282,0.845
35,841,0.8440000000000001
537,13,0.8420000000000001
714,349,0.8390000000000001
590,398,0.838
9,265,0.835
593,485,0.835
359,525,0.8340000000000001
61,782,0.8340000000000001
779,708,0.8340000000000001
72,530,0.8320000000000001
838,14,0.831
290,750,0.828
385,236,0.828
224,797,0.8270000000000001
421,217,0.8190000000000001
640,620,0.8190000000000001
669,700,0.818
668,237,0.8170000000000001
2,0,0.8170000000000001
98,57,0.815
40,798,0.815
282,660,0.8140000000000001
799,79,0.809
321,175,0.8079999999999999
746,59,0.807
118,472,0.805
582,203,0.805
690,645,0.805
580,669,0.805
808,717,0.804
503,633,0.804
510,159,0.8029999999999999
474,871,0.8029999999999999
217,92,0.8029999999999999
275,839,0.802
128,389,0.802
764,572,0.802
739,241,0.802
850,259,0.802
174,156,0.802
549,364,0.802
237,586,0.8009999999999999
15,204,0.8009999999999999
446,793,0.8
338,737,0.799
356,328,0.7959999999999999
870,801,0.795
654,554,0.7929999999999999
114,496,0.792
392,611,0.79
721,445,0.79
387,607,0.79
151,304,0.79
628,302,0.789
611,533,0.789
180,859,0.789
520,856,0.7879999999999999
723,84,0.7879999999999999
131,267,0.7879999999999999
441,470,0.787
508,486,0.7859999999999999
873,527,0.7859999999999999
788,573,0.785
710,843,0.785
589,394,0.785
57,130,0.7829999999999999
170,640,0.7829999999999999
709,224,0.779
701,583,0.778
735,45,0.7759999999999999
24,532,0.775
727,773,0.774
853,177,0.772
511,20,0.772
280,320,0.7709999999999999
818,513,0.7709999999999999
878,687,0.77
293,30,0.768
505,430,0.767
368,362,0.7659999999999999
556,127,0.763
413,477,0.762
574,743,0.76
480,757,0.757
305,61,0.7559999999999999
58,564,0.75
791,372,0.747
266,34,0.742
267,190,0.741
312,765,0.7390000000000001
303,528,0.738
44,648,0.736
550,44,0.736
674,58,0.7340000000000001
41,566,0.733
362,294,0.733
743,628,0.726
123,635,0.725
251,297,0.725
438,872,0.7240000000000001
319,552,0.722
26,508,0.722
467,873,0.722
509,697,0.721
798,810,0.72
557,816,0.72
796,736,0.72
867,95,0.72
364,87,0.718
360,33,0.715
76,325,0.711
125,512,0.7070000000000001
688,751,0.7070000000000001
258,275,0.7070000000000001
355,766,0.705
852,550,0.705
119,234,0.7020000000000001
324,453,0.693
471,312,0.69
821,228,0.6890000000000001
81,774,0.687
731,341,0.6859999999999999
11,24,0.6809999999999999
68,91,0.679
488,790,0.675
30,54,0.672
248,753,0.6709999999999999
140,837,0.6709999999999999
176,823,0.667
274,333,0.665
859,324,0.6629999999999999
470,520,0.6609999999999999
236,276,0.66
832,342,0.66
186,235,0.66
394,232,0.6559999999999999
423,402,0.654
283,150,0.652
687,726,0.6509999999999999
292,145,0.648
803,457,0.644
722,434,0.6409999999999999
521,400,0.6409999999999999
42,537,0.64
600,317,0.64
181,166,0.64
375,408,0.64
69,316,0.639
307,254,0.637
801,239,0.634
297,755,0.631
34,56,0.628
637,315,0.626
155,614,0.625
156,791,0.625
195,140,0.624
116,427,0.623
823,122,0.62
613,829,0.619
491,274,0.618
43,119,0.61
77,416,0.61
82,731,0.609
868,213,0.608
373,401,0.607
179,105,0.606
747,570,0.606
137,780,0.599
209,131,0.599
812,19,0.598
397,699,0.598
149,701,0.598
680,129,0.596
32,266,0.596
717,346,0.594
872,151,0.594
345,220,0.593
765,770,0.593
656,748,0.593
350,26,0.593
657,581,0.593
383,244,0.589
626,709,0.589
62,462,0.588
495,674,0.585
865,869,0.584
790,386,0.581
880,108,0.58
188,467,0.578
339,506,0.578
819,76,0.578
152,505,0.578
111,148,0.564
277,419,0.562
172,255,0.562
619,799,0.561
249,120,0.56
244,675,0.56
649,473,0.557
729,322,0.557
686,721,0.5529999999999999
349,184,0.55
411,18,0.5489999999999999
835,727,0.547
393,128,0.546
13,74,0.546
500,771,0.546
659,868,0.544
566,67,0.541
780,429,0.535
507,711,0.534
304,411,0.532
229,392,0.532
677,523,0.531
157,417,0.529
451,764,0.529
755,233,0.526
844,393,0.522
817,418,0.518
416,484,0.513
261,124,0.513
785,69,0.512
740,666,0.51
289,760,0.504
127,778,0.503
660,874,0.503
146,198,0.5
548,380,0.498
707,544,0.497
108,226,0.497
398,879,0.496
122,526,0.496
431,491,0.493
560,546,0.488
150,558,0.483
605,308,0.483
482,744,0.483
358,474,0.483
555,840,0.482
276,180,0.482
633,291,0.482
475,730,0.481
285,318,0.481
756,238,0.481
288,706,0.481
624,881,0.481
856,548,0.481
410,692,0.48
492,802,0.48
802,321,0.48
465,662,0.48
317,679,0.477
90,761,0.472
517,867,0.469
592,510,0.465
453,356,0.456
612,854,0.451
331,290,0.451
761,649,0.446
221,718,0.445
825,863,0.436
778,875,0.432
226,431,0.431
94,207,0.43
584,745,0.425
502,567,0.419
614,598,0.417
857,167,0.416
712,601,0.415
95,383,0.414
685,466,0.413
313,379,0.409
514,15,0.405
20,395,0.402
309,252,0.402
406,354,0.401
737,231,0.3989999999999999
1,179,0.391
752,323,0.391
439,634,0.39
700,353,0.3879999999999999
577,269,0.385
425,604,0.384
694,77,0.382
246,64,0.375
215,681,0.374
12,733,0.37
302,511,0.37
206,516,0.368
120,483,0.368
405,432,0.361
197,658,0.359
820,272,0.355
693,593,0.354
257,230,0.353
7,343,0.353
875,493,0.352
783,23,0.35
231,373,0.35
381,149,0.344
775,268,0.3429999999999999
84,385,0.3429999999999999
792,652,0.342
769,43,0.341
234,584,0.34
846,794,0.34
300,704,0.3379999999999999
864,808,0.337
270,134,0.337
159,337,0.336
597,561,0.336
882,788,0.336
468,688,0.336
713,449,0.326
433,631,0.325
558,27,0.324
750,242,0.3229999999999999
242,724,0.321
399,622,0.321
673,12,0.321
758,479,0.321
33,221,0.32
705,619,0.319
742,248,0.319
135,350,0.319
738,270,0.319
530,463,0.319
466,176,0.318
333,94,0.316
78,455,0.31
444,211,0.31
222,734,0.309
260,329,0.308
699,768,0.307
567,114,0.307
203,209,0.307
401,215,0.306
533,196,0.306
615,65,0.305
486,229,0.305
372,173,0.305
263,848,0.305
409,609,0.304
190,188,0.304
527,106,0.304
636,191,0.296
252,556,0.291
726,762,0.29
366,403,0.289
382,562,0.289
766,592,0.285
129,351,0.275
105,517,0.273
545,606,0.273
706,126,0.272
572,830,0.272
682,522,0.272
797,406,0.272
678,641,0.27
346,680,0.268
501,4,0.256
759,497,0.255
547,240,0.255
124,181,0.241
462,836,0.24
458,195,0.24
565,284,0.24
294,779,0.239
460,55,0.239
807,853,0.238
643,186,0.226
291,545,0.225
732,582,0.225
648,375,0.2239999999999999
463,671,0.2239999999999999
757,796,0.223
328,685,0.223
854,850,0.209
65,63,0.208
23,626,0.208
708,659,0.208
777,452,0.208
207,858,0.207
830,227,0.207
513,710,0.192
29,569,0.191
744,575,0.161
37,781,0.145
388,17,0.144
166,821,0.144
332,811,0.143
187,335,0.143
88,164,0.143
627,447,0.135
417,476,0.1119999999999999
177,99,0.08
689,382,0.079
31,347,0.032
